avg_temp,year,city,country
23.05,1832,Rio De Janeiro,Brazil
24.11,1833,Rio De Janeiro,Brazil
23.27,1834,Rio De Janeiro,Brazil
22.73,1835,Rio De Janeiro,Brazil
22.91,1836,Rio De Janeiro,Brazil
22.29,1837,Rio De Janeiro,Brazil
22.81,1838,Rio De Janeiro,Brazil
22.54,1839,Rio De Janeiro,Brazil
23.32,1840,Rio De Janeiro,Brazil
22.97,1841,Rio De Janeiro,Brazil
23.41,1842,Rio De Janeiro,Brazil
23.55,1843,Rio De Janeiro,Brazil
,1844,Rio De Janeiro,Brazil
,1845,Rio De Janeiro,Brazil
,1846,Rio De Janeiro,Brazil
,1847,Rio De Janeiro,Brazil
,1848,Rio De Janeiro,Brazil
,1849,Rio De Janeiro,Brazil
,1850,Rio De Janeiro,Brazil
23.53,1851,Rio De Janeiro,Brazil
23.74,1852,Rio De Janeiro,Brazil
23.76,1853,Rio De Janeiro,Brazil
23.83,1854,Rio De Janeiro,Brazil
23.89,1855,Rio De Janeiro,Brazil
22.83,1856,Rio De Janeiro,Brazil
23.46,1857,Rio De Janeiro,Brazil
22.37,1858,Rio De Janeiro,Brazil
23.04,1859,Rio De Janeiro,Brazil
23.91,1860,Rio De Janeiro,Brazil
23.04,1861,Rio De Janeiro,Brazil
23.04,1862,Rio De Janeiro,Brazil
22.95,1863,Rio De Janeiro,Brazil
23.02,1864,Rio De Janeiro,Brazil
22.89,1865,Rio De Janeiro,Brazil
23.10,1866,Rio De Janeiro,Brazil
23.26,1867,Rio De Janeiro,Brazil
24.32,1868,Rio De Janeiro,Brazil
24.20,1869,Rio De Janeiro,Brazil
24.22,1870,Rio De Janeiro,Brazil
23.84,1871,Rio De Janeiro,Brazil
23.75,1872,Rio De Janeiro,Brazil
23.94,1873,Rio De Janeiro,Brazil
23.23,1874,Rio De Janeiro,Brazil
22.85,1875,Rio De Janeiro,Brazil
23.05,1876,Rio De Janeiro,Brazil
23.80,1877,Rio De Janeiro,Brazil
24.30,1878,Rio De Janeiro,Brazil
22.84,1879,Rio De Janeiro,Brazil
24.01,1880,Rio De Janeiro,Brazil
23.29,1881,Rio De Janeiro,Brazil
22.65,1882,Rio De Janeiro,Brazil
22.98,1883,Rio De Janeiro,Brazil
22.85,1884,Rio De Janeiro,Brazil
23.75,1885,Rio De Janeiro,Brazil
22.94,1886,Rio De Janeiro,Brazil
23.49,1887,Rio De Janeiro,Brazil
23.82,1888,Rio De Janeiro,Brazil
24.17,1889,Rio De Janeiro,Brazil
23.38,1890,Rio De Janeiro,Brazil
23.55,1891,Rio De Janeiro,Brazil
23.40,1892,Rio De Janeiro,Brazil
22.68,1893,Rio De Janeiro,Brazil
23.62,1894,Rio De Janeiro,Brazil
23.36,1895,Rio De Janeiro,Brazil
23.35,1896,Rio De Janeiro,Brazil
23.31,1897,Rio De Janeiro,Brazil
23.54,1898,Rio De Janeiro,Brazil
23.95,1899,Rio De Janeiro,Brazil
23.48,1900,Rio De Janeiro,Brazil
23.07,1901,Rio De Janeiro,Brazil
23.99,1902,Rio De Janeiro,Brazil
23.73,1903,Rio De Janeiro,Brazil
23.17,1904,Rio De Janeiro,Brazil
23.84,1905,Rio De Janeiro,Brazil
23.74,1906,Rio De Janeiro,Brazil
23.36,1907,Rio De Janeiro,Brazil
23.57,1908,Rio De Janeiro,Brazil
23.33,1909,Rio De Janeiro,Brazil
23.31,1910,Rio De Janeiro,Brazil
23.36,1911,Rio De Janeiro,Brazil
23.48,1912,Rio De Janeiro,Brazil
23.72,1913,Rio De Janeiro,Brazil
24.28,1914,Rio De Janeiro,Brazil
24.06,1915,Rio De Janeiro,Brazil
23.52,1916,Rio De Janeiro,Brazil
22.62,1917,Rio De Janeiro,Brazil
23.26,1918,Rio De Janeiro,Brazil
23.73,1919,Rio De Janeiro,Brazil
23.64,1920,Rio De Janeiro,Brazil
23.41,1921,Rio De Janeiro,Brazil
23.91,1922,Rio De Janeiro,Brazil
23.85,1923,Rio De Janeiro,Brazil
23.25,1924,Rio De Janeiro,Brazil
23.49,1925,Rio De Janeiro,Brazil
23.83,1926,Rio De Janeiro,Brazil
23.67,1927,Rio De Janeiro,Brazil
24.09,1928,Rio De Janeiro,Brazil
23.80,1929,Rio De Janeiro,Brazil
24.04,1930,Rio De Janeiro,Brazil
23.54,1931,Rio De Janeiro,Brazil
24.23,1932,Rio De Janeiro,Brazil
23.01,1933,Rio De Janeiro,Brazil
23.79,1934,Rio De Janeiro,Brazil
23.89,1935,Rio De Janeiro,Brazil
24.02,1936,Rio De Janeiro,Brazil
23.61,1937,Rio De Janeiro,Brazil
23.92,1938,Rio De Janeiro,Brazil
23.95,1939,Rio De Janeiro,Brazil
24.17,1940,Rio De Janeiro,Brazil
24.22,1941,Rio De Janeiro,Brazil
23.86,1942,Rio De Janeiro,Brazil
23.54,1943,Rio De Janeiro,Brazil
23.85,1944,Rio De Janeiro,Brazil
23.61,1945,Rio De Janeiro,Brazil
24.34,1946,Rio De Janeiro,Brazil
23.63,1947,Rio De Janeiro,Brazil
24.02,1948,Rio De Janeiro,Brazil
23.56,1949,Rio De Janeiro,Brazil
24.03,1950,Rio De Janeiro,Brazil
23.25,1951,Rio De Janeiro,Brazil
23.97,1952,Rio De Janeiro,Brazil
24.01,1953,Rio De Janeiro,Brazil
24.22,1954,Rio De Janeiro,Brazil
23.62,1955,Rio De Janeiro,Brazil
