cat,gat,year
23.05,7.45,1832
24.11,8.01,1833
23.27,8.15,1834
22.73,7.39,1835
22.91,7.70,1836
22.29,7.38,1837
22.81,7.51,1838
22.54,7.63,1839
23.32,7.80,1840
22.97,7.69,1841
23.41,8.02,1842
23.55,8.17,1843
,7.65,1844
,7.85,1845
,8.55,1846
,8.09,1847
,7.98,1848
,7.98,1849
,7.90,1850
23.53,8.18,1851
23.74,8.10,1852
23.76,8.04,1853
23.83,8.21,1854
23.89,8.11,1855
22.83,8.00,1856
23.46,7.76,1857
22.37,8.10,1858
23.04,8.25,1859
23.91,7.96,1860
23.04,7.85,1861
23.04,7.56,1862
22.95,8.11,1863
23.02,7.98,1864
22.89,8.18,1865
23.10,8.29,1866
23.26,8.44,1867
24.32,8.25,1868
24.20,8.43,1869
24.22,8.20,1870
23.84,8.12,1871
23.75,8.19,1872
23.94,8.35,1873
23.23,8.43,1874
22.85,7.86,1875
23.05,8.08,1876
23.80,8.54,1877
24.30,8.83,1878
22.84,8.17,1879
24.01,8.12,1880
23.29,8.27,1881
22.65,8.13,1882
22.98,7.98,1883
22.85,7.77,1884
23.75,7.92,1885
22.94,7.95,1886
23.49,7.91,1887
23.82,8.09,1888
24.17,8.32,1889
23.38,7.97,1890
23.55,8.02,1891
23.40,8.07,1892
22.68,8.06,1893
23.62,8.16,1894
23.36,8.15,1895
23.35,8.21,1896
23.31,8.29,1897
23.54,8.18,1898
23.95,8.40,1899
23.48,8.50,1900
23.07,8.54,1901
23.99,8.30,1902
23.73,8.22,1903
23.17,8.09,1904
23.84,8.23,1905
23.74,8.38,1906
23.36,7.95,1907
23.57,8.19,1908
23.33,8.18,1909
23.31,8.22,1910
23.36,8.18,1911
23.48,8.17,1912
23.72,8.30,1913
24.28,8.59,1914
24.06,8.59,1915
23.52,8.23,1916
22.62,8.02,1917
23.26,8.13,1918
23.73,8.38,1919
23.64,8.36,1920
23.41,8.57,1921
23.91,8.41,1922
23.85,8.42,1923
23.25,8.51,1924
23.49,8.53,1925
23.83,8.73,1926
23.67,8.52,1927
24.09,8.63,1928
23.80,8.24,1929
24.04,8.63,1930
23.54,8.72,1931
24.23,8.71,1932
23.01,8.34,1933
23.79,8.63,1934
23.89,8.52,1935
24.02,8.55,1936
23.61,8.70,1937
23.92,8.86,1938
23.95,8.76,1939
24.17,8.76,1940
24.22,8.77,1941
23.86,8.73,1942
23.54,8.76,1943
23.85,8.85,1944
23.61,8.58,1945
24.34,8.68,1946
23.63,8.80,1947
24.02,8.75,1948
23.56,8.59,1949
24.03,8.37,1950
23.25,8.63,1951
23.97,8.64,1952
24.01,8.87,1953
24.22,8.56,1954
23.62,8.63,1955
23.47,8.28,1956
23.97,8.73,1957
24.62,8.77,1958
24.61,8.73,1959
23.80,8.58,1960
24.64,8.80,1961
23.44,8.75,1962
24.29,8.86,1963
23.47,8.41,1964
24.30,8.53,1965
24.36,8.60,1966
24.20,8.70,1967
23.30,8.52,1968
24.15,8.60,1969
24.06,8.70,1970
24.00,8.60,1971
24.41,8.50,1972
24.38,8.95,1973
23.92,8.47,1974
23.57,8.74,1975
23.77,8.35,1976
24.64,8.85,1977
24.01,8.69,1978
23.61,8.73,1979
24.35,8.98,1980
24.02,9.17,1981
24.02,8.64,1982
24.14,9.03,1983
24.62,8.69,1984
24.10,8.66,1985
24.75,8.83,1986
24.55,8.99,1987
24.00,9.20,1988
24.07,8.92,1989
24.64,9.23,1990
24.25,9.18,1991
24.24,8.84,1992
24.65,8.87,1993
24.71,9.04,1994
24.77,9.35,1995
24.28,9.04,1996
24.71,9.20,1997
24.78,9.52,1998
24.01,9.29,1999
24.36,9.20,2000
24.99,9.41,2001
25.18,9.57,2002
24.90,9.53,2003
24.24,9.32,2004
24.79,9.70,2005
24.57,9.53,2006
24.78,9.73,2007
24.26,9.43,2008
24.98,9.51,2009
24.95,9.70,2010
24.32,9.52,2011
24.84,9.51,2012
25.19,9.61,2013
